Timestamp;temp_air;ghi;dhi;dni
01/01/2025 00:00;24,5;0;0;0
01/01/2025 01:00;24,3;0;0;0
01/01/2025 02:00;24,2;0;0;0
01/01/2025 03:00;24,1;0;0;0
01/01/2025 04:00;24,3;0;0;0
01/01/2025 05:00;25,2;38;24;219
01/01/2025 06:00;26,5;257;65;649
01/01/2025 07:00;27,8;504;86;814
01/01/2025 08:00;28,9;730;100;896
01/01/2025 09:00;29,8;631;437;227
01/01/2025 10:00;30,4;1030;112;969
01/01/2025 11:00;30,7;1075;121;970
01/01/2025 12:00;30,8;1034;148;923
01/01/2025 13:00;30,6;931;144;898
01/01/2025 14:00;30,2;763;133;854
01/01/2025 15:00;29,4;545;114;774
01/01/2025 16:00;28,4;300;88;615
01/01/2025 17:00;27,4;71;42;255
01/01/2025 18:00;26,6;0;0;0
01/01/2025 19:00;26,1;0;0;0
01/01/2025 20:00;25,9;0;0;0
01/01/2025 21:00;25,4;0;0;0
01/01/2025 22:00;25,1;0;0;0
01/01/2025 23:00;24,9;0;0;0
02/01/2025 00:00;24,8;0;0;0
02/01/2025 01:00;24,6;0;0;0
02/01/2025 02:00;24,4;0;0;0
02/01/2025 03:00;24,3;0;0;0
02/01/2025 04:00;24,3;0;0;0
02/01/2025 05:00;25,1;36;24;185
02/01/2025 06:00;26,5;254;68;633
02/01/2025 07:00;27,7;503;92;802
02/01/2025 08:00;28,8;730;106;888
02/01/2025 09:00;29,8;915;114;942
02/01/2025 10:00;30,4;1035;119;967
02/01/2025 11:00;30,6;1080;120;976
02/01/2025 12:00;30,6;1050;122;967
02/01/2025 13:00;30,4;947;119;945
02/01/2025 14:00;29,8;777;110;902
02/01/2025 15:00;29,1;556;99;819
02/01/2025 16:00;28;310;76;678
02/01/2025 17:00;27;76;38;334
02/01/2025 18:00;26,2;0;0;0
02/01/2025 19:00;25,8;0;0;0
02/01/2025 20:00;25,6;0;0;0
02/01/2025 21:00;25,3;0;0;0
02/01/2025 22:00;25,1;0;0;0
02/01/2025 23:00;25;0;0;0
03/01/2025 00:00;24,8;0;0;0
03/01/2025 01:00;24,7;0;0;0
03/01/2025 02:00;24,6;0;0;0
03/01/2025 03:00;24,6;0;0;0
03/01/2025 04:00;24,7;0;0;0
03/01/2025 05:00;25,4;36;22;231
03/01/2025 06:00;26,6;257;62;672
03/01/2025 07:00;27,7;508;79;840
03/01/2025 08:00;28,7;542;325;309
03/01/2025 09:00;29,5;917;108;952
03/01/2025 10:00;30;1036;115;974
03/01/2025 11:00;30,2;1083;119;979
03/01/2025 12:00;30,2;1049;133;953
03/01/2025 13:00;29,9;945;130;928
03/01/2025 14:00;29,4;775;121;882
